Link	Title	Snippet
https://www.apnews.com/9c78ee01f1ab45ffba852974fb229487	Trump travel ban partly reinstated; fall court arguments set	Jun 26, 2017 ... WASHINGTON (AP) The Supreme Court is allowing President Donald Trump to forge ahead with a limited version of his ban on travel from six mostly Muslim countries to the U.S. Trump hailed the decision as a victory for national security, but it's likely to set off a new round of court disputes over...
https://www.apnews.com/d1bdd23ed40a4b8cb8804555f3553094/Trump:-Not-'that-far-off'-from-passing-health-overhaul	Trump: Not 'that far off' from passing health overhaul	Jun 26, 2017 ... WASHINGTON (AP) Making a final push, President Donald Trump said he doesn't think congressional Republicans are that far off on a health overhaul to replace the dead carcass of Obamacare. Expressing frustration, he complained about the level of hostility in government and wondered why both...
https://www.apnews.com/ae543417e2064eec88a33fa5fce38532	How 4 scripted TV shows are adapting to the Donald Trump Era	Jun 26, 2017 ... NEW YORK (AP) The Donald Trump presidency has forced a reckoning for scripted TV shows that up to now have been trading on Beltway business-as- usual for their characters and stories. Here are four veteran series that, each in its own way, is adapting to the new age of government ushered in by...
https://www.apnews.com/e3f97d87ee884445b80a0826e5d4eeac	Trump administration moves to withdraw clean-water rule	Jun 27, 2017 ... WASHINGTON (AP) The Trump administration moved Tuesday to roll back an Obama administration policy that protected more than half the nation's streams from pollution but drew attacks from farmers, fossil fuel companies and property- rights groups as federal overreach. The 2015 regulation sought to...
https://www.apnews.com/9d26872d4d63489d89d17c3064cd8b8e/Real-life-drama-in-age-of-Trump-challenges-TV's-storytellers	Real-life drama in age of Trump challenges TV's storytellers	Jun 26, 2017 ... NEW YORK (AP) Say you're a storyteller whose TV show draws inspiration from real-life Washington. Whether portraying the noble geopolitics of Madam Secretary or the dirty deeds on House of Cards, the high-stakes fumbling on Veep or the scourge of terrorism that haunts Homeland, script...
https://apnews.com/2f97bcdfb1d54464a70e1097f7d1bc6a	The Latest: Trump tweets back at 'Morning Joe'	Jun 30, 2017 ... WASHINGTON (AP) The latest developments involving President Donald Trump and MSNBC (all times local): 9:10 a.m. President Donald Trump is again blast.
https://apnews.com/2ef6abedd6bf40ac83bf76d999b8206b	Trump gets it from all sides for trash-talking MSNBC hosts	Jun 29, 2017 ... WASHINGTON (AP) President Donald Trump launched a crude Twitter attack on the brains, looks and temperament of a female TV personality Thursday, drawing bipartisan howls of outrage and leaving fellow Republicans beseeching him: Stop, please just stop. Trump's tweets aimed at MSNBC's Mika...
https://apnews.com/6f05b3a81e134568902e015e666726f6	Clarification: Trump-Russia stories	Jun 30, 2017 ... WASHINGTON (AP) In stories published April 6, June 2, June 26 and June 29, The Associated Press reported that all 17 U.S. intelligence agencies have agreed that Russia tried to influence the 2016 election to benefit Donald Trump. That assessment was based on information collected by three...
https://www.apnews.com/3fb1ebe4e59849fdb1226043cc7301d3	Bridges takes chilled approach in heated political rhetoric	Jun 28, 2017 ... Some people will be blatantly out there talking about their disappointments and ridiculing the way President Trump is acting, said Bridges, who supported Hillary Clinton in last year's election. I'm rooting for him to do well by our country, he said. I'm rooting for him as a human being to do the cool thing,...
https://www.apnews.com/5c547aadf2e7414ea041b4ca5ac06fb0/More-court-challenges-expected-for-Trump's-new-travel-ban	More court challenges expected for Trump's new travel ban	Jun 30, 2017 ... WASHINGTON (AP) A scaled-back version of President Donald Trump's travel ban is now in force, stripped of provisions that brought protests and chaos at airports worldwide in Jan.
