Link	Title	Snippet
https://www.apnews.com/6ca518a8b23b4ce99661c31afa29ed94	Trump declares US opioid emergency but pledges no new money	Oct 26, 2017 ... WASHINGTON (AP) In ringing and personal terms, President Donald Trump on Thursday pledged that we will overcome addiction in America, declaring opioid abuse a national public health emergency and announcing new steps to combat what he described as the worst drug crisis in U.S. history.
https://www.apnews.com/18feb69435ef4dcb9fae3c8f93232562	Trump on Xi: Now some people might call him the king	Oct 26, 2017 ... WASHINGTON (AP) President Donald Trump spoke Wednesday with Chinese President Xi Jinping, congratulating Xi on beginning a second, five-year term as leader. China's ruling Communist Party this week formally lifted Xi's status to China's most powerful ruler in decades by writing his name and...
https://apnews.com/10a7e7d77ff442399b706ce121f8ae66	House backs $4T budget, faces challenges on Trump tax plan	Oct 26, 2017 ... WASHINGTON (AP) Republicans powered a $4 trillion budget through the House on Thursday by a razor-thin margin, a close vote underscoring the difficulties that lie ahead in delivering President Donald Trump's promise to cut taxes. For now, Republicans sidestepped divisions within the party by...
https://www.apnews.com/daac9e8650d14237bddd13221a246b81	Trump urges House GOP to move quickly on budget, tax cuts	Oct 23, 2017 ... WASHINGTON, D.C. (AP) President Donald Trump warned House Republicans on Sunday that 2018 would be a political failure for the GOP and disappointment for the nation if they fail on tax overhaul. A GOP aide familiar with the conversation said Trump told the lawmakers again and again that the...
https://www.apnews.com/cec23482c8784142806cc6dd51365e85	Ghosts of Vietnam stirring as Trump preps for Asia trip	Oct 24, 2017 ... NEW YORK (AP) For more than 50 years, every American president has been forced to grapple, in one way or another, with the quagmire of the Vietnam War. Now it's Donald Trump's turn. The ghosts of Vietnam are stirring anew, just as Trump prepares to visit the nation on his first presidential tour of...
https://www.apnews.com/5255cba7c4f54127b5a6b3076ab8481f/Trump-calls-for-liberation-from-'scourge'-of-drug-addiction	Trump calls for liberation from 'scourge' of drug addiction	Oct 27, 2017 ... WASHINGTON (AP) In ringing and personal terms, President Donald Trump has pledged that we will overcome addiction in America, declaring opioid abuse a national public health emergency and announcing new steps to combat what he described as the worst drug crisis in U.S. history. Trump's...
https://www.apnews.com/020bfc7fb4d5438f9cd7c8c1695cf099	The Latest: Trump_ It's disgrace Democrats paid for dossier	Oct 26, 2017 ... WASHINGTON (AP) The Latest on investigations into possible contacts between the Trump campaign and Russia (all times local):. 9 p.m.. President Donald Trump and other Republicans are latching onto revelations tying Hillary Clinton's presidential campaign to a dossier of allegations about Trump...
https://www.apnews.com/32ba75f6e70647cf83b5b50bfb3ead95/Senators-rally-behind-Trump-and-his-agenda-after-mini-revolt	Senators rally behind Trump and his agenda after mini-revolt	Oct 26, 2017 ... WASHINGTON (AP) There was no dam break of Republican rancor against Donald Trump, a day after a pair of the party's prominent senators denounced their president and invited coll.
https://apnews.com/7c15f9cb3d39413fb4c959e36f1fde1c	Utah senator: Trump shrinking 2 national monuments in Utah	Oct 27, 2017 ... WASHINGTON (AP) President Donald Trump is shrinking two national monuments in Utah, accepting the recommendation of Interior Secretary Ryan Zinke to reverse protections establis.
https://www.apnews.com/15c0ecbd91ed4800b0fbced42e631a47/Trump,-GOP-at-odds-over-using-401(k)s-to-pay-for-tax-cuts	Trump, GOP at odds over using 401(k)s to pay for tax cuts	Oct 26, 2017 ... WASHINGTON (AP) President Donald Trump and Republicans were at odds on Wednesday over changing the 401(k) retirement program to help finance tax cuts, with the president insisti.
