Link	Title	Snippet
https://www.apnews.com/df2a6f9db58d4a94b185d35147c6b091	Trump, North Korea trade escalating threats of fire	Aug 9, 2017 ... SEOUL, South Korea (AP) North Korea and the United States traded escalating threats, with President Donald Trump threatening Pyongyang with fire and fury like the world has never seen and the North's military claiming Wednesday it was examining its plans for attacking Guam. The comments follow ...
https://www.apnews.com/cc6b335865e24a4b843dc0e2c4cc6c7a	Study says Trump moves trigger health premium jumps for 2018	Aug 10, 2017 ... WASHINGTON (AP) Actions by the Trump administration are triggering double -digit premium increases on individual health insurance policies purchased by many people, according to a nonpartisan study. The analysis released Thursday by the Kaiser Family Foundation found that mixed signals from...
https://www.apnews.com/b9fc7a61a32e42e482e587ee623260d1	Top Trump aides clashing over direction of US foreign policy	Aug 8, 2017 ... WASHINGTON (AP) A long-simmering dispute between two top White House aides has boiled into a public battle over the direction of President Donald Trump's foreign policy, with a.
https://www.apnews.com/2ea9e97605384907b46a7159ba92fb13/MSNBC-surges-as-home-for-Trump-opponents	MSNBC surges as home for Trump opponents	Aug 7, 2017 ... NEW YORK (AP) For the first month since CNN's Larry King owned cable news in October 2001, the most popular personality in prime-time doesn't work for Fox News Channel. Rachel M.
https://www.apnews.com/039f8a58a33442ba95952e1e4c0185d0	On behalf of Trump, Pence carves his own political ID	Aug 8, 2017 ... WASHINGTON (AP) Shuttling across the country aboard Air Force Two, Vice President Mike Pence has been a loyal messenger for President Donald Trump. At the same time, he has been carving out his own political identity as the steady understudy to a mercurial president. The Republican vice...
https://apnews.com/3f911ed5d0614f4fa9a8c6e0c3a4d293	The Latest: Japan says it could shoot down NKorean missile	Aug 10, 2017 ... WASHINGTON (AP) The Latest on President Donald Trump and North Korea ( all times EDT):. 1 a.m.. Japan says it could shoot down missiles for its U.S. ally if North Korea fires them at Guam. Defense Minister Itsunori Onodera told Thursday's parliamentary session that a missile attack on the U.S....
https://apnews.com/a16d93803ff1422194c5e3ca0d6769ed	Trump, North Korea trade escalating threats of fire	Aug 9, 2017 ... SEOUL, South Korea (AP) In an exchange of threats, President Donald Trump warned Pyongyang of fire and fury like the world has never seen and the North's military claimed Wednesday it was examining plans for attacking Guam. The high-level tit-for-tat follows reports that North Korea has mastered...
https://www.apnews.com/9cf6625bebd3459b98d913ac3b7493cf/US-scientists-contradict-Trump's-climate-claims	US scientists contradict Trump's climate claims	Aug 9, 2017 ... WASHINGTON (AP) As President Donald Trump touts new oil pipelines and pledges to revive the nation's struggling coal mines, federal scientists are warning that burning fossil fu.
https://www.apnews.com/74ed5e07efc94759ba335a51e80de6dc	Trump doubles down on 'fire and fury' vow as wargames near	Aug 11, 2017 ... SEOUL, South Korea (AP) Not backing down, President Donald Trump warned Kim Jong Un's government on Thursday to get their act together or face extraordinary trouble, and suggested he had been too mild when he vowed to unleash fire and fury on North Korea if it continued to threaten the U.S..
https://www.apnews.com/8d0527dc284f49a583a27957f25a6329/Analysis:-Risk-of-miscalculation-in-Trump's-tough-Korea-talk	Analysis: Risk of miscalculation in Trump's tough Korea talk	Aug 9, 2017 ... WASHINGTON (AP) Warning of "fire and fury," President Donald Trump has answered North Korea's threats with rhetoric the nuclear-armed nation might appreciate. The risk is the to.
