,Poll,Date,Sample,Approve,Disapprove,Spread
0,RCP Average,3/22 - 4/11,--,42.1,54.0,-11.9
1,Rasmussen ReportsRasmussen,4/9 - 4/11,1500 LV,50,49,+1
2,Economist/YouGovEconomist,4/8 - 4/10,1292 RV,42,53,-11
3,Reuters/IpsosReuters,4/6 - 4/10,1219 RV,39,58,-19
4,QuinnipiacQuinnipiac,4/6 - 4/9,1181 RV,41,52,-11
5,GallupGallup,4/2 - 4/8,1500 A,41,54,-13
6,Economist/YouGovEconomist,4/1 - 4/3,1246 RV,41,55,-14
7,Reuters/IpsosReuters,3/30 - 4/3,1519 RV,41,56,-15
8,Harvard-HarrisHarvard-Harris,3/27 - 3/29,1340 RV,44,56,-12
9,GallupGallup,3/25 - 3/31,1500 A,39,55,-16
10,Economist/YouGovEconomist,3/25 - 3/27,1330 RV,41,54,-13
11,IBD/TIPPIBD/TIPP,3/22 - 3/29,902 A,38,56,-18
12,Reuters/IpsosReuters,3/23 - 3/27,1392 RV,41,55,-14
13,PPP (D)PPP (D),3/23 - 3/25,846 RV,39,54,-15
14,CNNCNN,3/22 - 3/25,913 RV,43,53,-10
15,GallupGallup,3/19 - 3/25,1500 A,39,55,-16
16,MaristMarist,3/19 - 3/21,1015 RV,42,51,-9
17,FOX NewsFOX News,3/18 - 3/21,1014 RV,45,52,-7
18,Economist/YouGovEconomist,3/18 - 3/20,1284 RV,41,54,-13
19,CNBCCNBC,3/17 - 3/20,801 A,39,50,-11
20,QuinnipiacQuinnipiac,3/16 - 3/20,1291 RV,40,53,-13
21,Reuters/IpsosReuters,3/16 - 3/20,1337 RV,44,52,-8
22,GallupGallup,3/12 - 3/18,1500 A,40,56,-16
23,NBC News/Wall St. JrnlNBC/WSJ,3/10 - 3/14,1100 A,43,53,-10
24,Economist/YouGovEconomist,3/10 - 3/13,1291 RV,42,54,-12
25,Pew ResearchPew,3/7 - 3/14,RV,42,53,-11
26,Reuters/IpsosReuters,3/9 - 3/13,1411 A,39,56,-17
27,CBS NewsCBS News,3/8 - 3/11,1223 A,38,57,-19
28,GallupGallup,3/5 - 3/11,1500 A,39,56,-17
29,GWU/BattlegroundGWU/Battleground,3/4 - 3/8,1000 RV,42,55,-13
30,MaristMarist,3/5 - 3/6,867 RV,44,49,-5
31,Economist/YouGovEconomist,3/4 - 3/6,1310 RV,41,54,-13
32,QuinnipiacQuinnipiac,3/3 - 3/5,1122 RV,38,56,-18
33,MonmouthMonmouth,3/2 - 3/5,708 RV,40,54,-14
34,Reuters/IpsosReuters,3/2 - 3/6,2927 A,40,54,-14
35,GallupGallup,2/26 - 3/4,1500 A,39,55,-16
36,IBD/TIPPIBD/TIPP,2/22 - 3/1,901 A,37,58,-21
37,Economist/YouGovEconomist,2/25 - 2/27,1296 RV,44,53,-9
38,Reuters/IpsosReuters,2/23 - 2/27,1651 A,40,56,-16
39,GallupGallup,2/19 - 2/25,1500 A,39,56,-17
40,USA Today/SuffolkUSA Today,2/20 - 2/24,1000 RV,38,60,-22
41,CNNCNN,2/20 - 2/23,909 RV,39,56,-17
42,MaristMarist,2/20 - 2/21,819 RV,40,53,-13
43,Economist/YouGovEconomist,2/18 - 2/20,1308 RV,44,51,-7
44,Reuters/IpsosReuters,2/16 - 2/20,1104 A,40,55,-15
45,QuinnipiacQuinnipiac,2/16 - 2/19,1249 RV,37,58,-21
46,Harvard-HarrisHarvard-Harris,2/16 - 2/19,1934 RV,45,55,-10
47,GallupGallup,2/12 - 2/18,1500 A,37,59,-22
48,Economist/YouGovEconomist,2/11 - 2/13,1280 RV,45,50,-5
49,FOX NewsFOX News,2/10 - 2/13,1005 RV,43,53,-10
